file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,21
style.css,53,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,54,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,55,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,12
style.css,56,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,46
style.css,57,css,b962be00,abhi-sathvika,2025-04-14,16:28:10,-07:00,2025-04-14T16:28:10-07:00,0,64
style.css,58,css,b962be00,abhi-sathvika,2025-04-14,16:28:10,-07:00,2025-04-14T16:28:10-07:00,0,70
style.css,59,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,60,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,61,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,37
style.css,62,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,5
style.css,63,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,8
style.css,64,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,7
style.css,65,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,13
style.css,66,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,11
style.css,67,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,22
style.css,68,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,69,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,70,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,5
style.css,71,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,13
style.css,72,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,31
style.css,73,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,8
style.css,74,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,75,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,76,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,11
style.css,77,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,13
style.css,78,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,30
style.css,79,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,19
style.css,80,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,10
style.css,81,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,82,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,83,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,12
style.css,84,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,19
style.css,85,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,86,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,87,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,88,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,38
style.css,89,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,90,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,10
style.css,91,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,13
style.css,92,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,59
style.css,93,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,8
style.css,94,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,12
style.css,95,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,96,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,97,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,18
style.css,98,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,13
style.css,99,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,27
style.css,100,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,16
style.css,101,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,8
style.css,102,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,103,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,104,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,29
style.css,105,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,13
style.css,106,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,9
style.css,107,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,108,css,271e408f,abhi-sathvika,2025-04-08,10:07:12,-07:00,2025-04-08T10:07:12-07:00,0,0
style.css,109,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,20
style.css,110,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,11
style.css,111,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,31
style.css,112,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,35
style.css,113,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,41
style.css,114,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,0
style.css,115,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,0
style.css,116,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,0
style.css,117,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,19
style.css,118,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,15
style.css,119,css,58edcd82,abhi-sathvika,2025-04-29,16:36:07,-07:00,2025-04-29T16:36:07-07:00,0,17
